"","week","home_team","home_points","away_team","away_points","conference_game"
"1",1,"Florida",24,"Miami",20,FALSE
"2",1,"Hawai'i",45,"Arizona",38,FALSE
"3",1,"Bowling Green",46,"Morgan State",3,FALSE
"4",1,"Connecticut",24,"Wagner",21,FALSE
"5",1,"Buffalo",38,"Robert Morris",10,FALSE
"6",1,"Cincinnati",24,"UCLA",14,FALSE
"7",1,"Western Kentucky",28,"Central Arkansas",35,FALSE
"8",1,"Charlotte",49,"Gardner-Webb",28,FALSE
"9",1,"UCF",62,"Florida A&M",0,FALSE
"10",1,"Clemson",52,"Georgia Tech",14,TRUE
"11",1,"UAB",24,"Alabama State",19,FALSE
"12",1,"Tulane",42,"Florida International",14,FALSE
"13",1,"Texas A&M",41,"Texas State",7,FALSE
"14",1,"Central Michigan",38,"Albany",21,FALSE
"15",1,"Minnesota",28,"South Dakota State",21,FALSE
"16",1,"San José State",35,"Northern Colorado",18,FALSE
"17",1,"Arizona State",30,"Kent State",7,FALSE
"18",1,"BYU",12,"Utah",30,FALSE
"19",1,"Army",14,"Rice",7,FALSE
"20",1,"Michigan State",28,"Tulsa",7,FALSE
"21",1,"Rutgers",48,"UMass",21,FALSE
"22",1,"South Florida",0,"Wisconsin",49,FALSE
"23",1,"Wake Forest",38,"Utah State",35,FALSE
"24",1,"Nevada",34,"Purdue",31,FALSE
"25",1,"Colorado",52,"Colorado State",31,FALSE
"26",1,"Oregon State",36,"Oklahoma State",52,FALSE
"27",1,"Ohio State",45,"Florida Atlantic",21,FALSE
"28",1,"Maryland",79,"Howard",0,FALSE
"29",1,"Nebraska",35,"South Alabama",21,FALSE
"30",1,"Kentucky",38,"Toledo",24,FALSE
"31",1,"Kansas",24,"Indiana State",17,FALSE
"32",1,"NC State",34,"East Carolina",6,FALSE
"33",1,"Florida State",31,"Boise State",36,FALSE
"34",1,"Ball State",24,"Indiana",34,FALSE
"35",1,"Illinois",42,"Akron",3,FALSE
"36",1,"Louisiana",28,"Mississippi State",38,FALSE
"37",1,"Memphis",15,"Ole Miss",10,FALSE
"38",1,"Iowa State",29,"Northern Iowa",26,FALSE
"39",1,"Ohio",41,"Rhode Island",20,FALSE
"40",1,"West Virginia",20,"James Madison",13,FALSE
"41",1,"Washington",47,"Eastern Washington",14,FALSE
"42",1,"Temple",56,"Bucknell",12,FALSE
"43",1,"Coastal Carolina",23,"Eastern Michigan",30,FALSE
"44",1,"Navy",45,"Holy Cross",7,FALSE
"45",1,"North Carolina",24,"South Carolina",20,FALSE
"46",1,"Tennessee",30,"Georgia State",38,FALSE
"47",1,"Penn State",79,"Idaho",7,FALSE
"48",1,"Air Force",48,"Colgate",7,FALSE
"49",1,"Appalachian State",42,"East Tennessee State",7,FALSE
"50",1,"Alabama",42,"Duke",3,FALSE
"51",1,"Texas Tech",45,"Montana State",10,FALSE
"52",1,"Arkansas",20,"Portland State",13,FALSE
"53",1,"Boston College",35,"Virginia Tech",28,TRUE
"54",1,"Stanford",17,"Northwestern",7,FALSE
"55",1,"Troy",43,"Campbell",14,FALSE
"56",1,"UT San Antonio",35,"Incarnate Word",7,FALSE
"57",1,"Liberty",0,"Syracuse",24,FALSE
"58",1,"New Mexico",39,"Sam Houston State",31,FALSE
"59",1,"Marshall",56,"VMI",17,FALSE
"60",1,"California",27,"UC Davis",13,FALSE
"61",1,"Old Dominion",24,"Norfolk State",21,FALSE
"62",1,"Baylor",56,"Stephen F. Austin",17,FALSE
"63",1,"Kansas State",49,"Nicholls",14,FALSE
"64",1,"Arkansas State",30,"SMU",37,FALSE
"65",1,"Western Michigan",48,"Monmouth",13,FALSE
"66",1,"Northern Illinois",24,"Illinois State",10,FALSE
"67",1,"Southern Mississippi",38,"Alcorn State",10,FALSE
"68",1,"Michigan",40,"Middle Tennessee",21,FALSE
"69",1,"Auburn",27,"Oregon",21,FALSE
"70",1,"North Texas",51,"Abilene Christian",31,FALSE
"71",1,"Wyoming",37,"Missouri",31,FALSE
"72",1,"Pittsburgh",14,"Virginia",30,TRUE
"73",1,"Vanderbilt",6,"Georgia",30,TRUE
"74",1,"Iowa",38,"Miami (OH)",14,FALSE
"75",1,"LSU",55,"Georgia Southern",3,FALSE
"76",1,"UTEP",36,"Houston Baptist",34,FALSE
"77",1,"TCU",39,"Arkansas-Pine Bluff",7,FALSE
"78",1,"Louisiana Monroe",31,"Grambling",9,FALSE
"79",1,"Texas",45,"Louisiana Tech",14,FALSE
"80",1,"San Diego State",6,"Weber State",0,FALSE
"81",1,"UNLV",56,"Southern Utah",23,FALSE
"82",1,"Washington State",58,"New Mexico State",7,FALSE
"83",1,"USC",31,"Fresno State",23,FALSE
"84",1,"Oklahoma",49,"Houston",31,FALSE
"85",1,"Louisville",17,"Notre Dame",35,FALSE
"86",2,"Virginia",52,"William & Mary",17,FALSE
"87",2,"Rice",21,"Wake Forest",41,FALSE
"88",2,"Boise State",14,"Marshall",7,FALSE
"89",2,"Arizona State",19,"Sacramento State",7,FALSE
"90",2,"Pittsburgh",20,"Ohio",10,FALSE
"91",2,"Michigan",24,"Army",21,FALSE
"92",2,"Iowa",30,"Rutgers",0,TRUE
"93",2,"Maryland",63,"Syracuse",20,FALSE
"94",2,"Ohio State",42,"Cincinnati",0,FALSE
"95",2,"Virginia Tech",31,"Old Dominion",17,FALSE
"96",2,"Kansas State",52,"Bowling Green",0,FALSE
"97",2,"Purdue",42,"Vanderbilt",24,FALSE
"98",2,"Missouri",38,"West Virginia",7,FALSE
"99",2,"South Carolina",72,"Charleston Southern",10,FALSE
"100",2,"Akron",20,"UAB",31,FALSE
"101",2,"Kent State",26,"Kennesaw State",23,FALSE
"102",2,"Memphis",55,"Southern",24,FALSE
"103",2,"NC State",41,"Western Carolina",0,FALSE
"104",2,"Utah",35,"Northern Illinois",17,FALSE
"105",2,"Georgia Tech",14,"South Florida",10,FALSE
"106",2,"Ball State",57,"Fordham",29,FALSE
"107",2,"Miami (OH)",48,"Tennessee Tech",17,FALSE
